valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;academia;varanda;transporte;salao;planejado
270000;Perfeito apartamento 02 Quartos   descrição: 02 Quartos 01 banheiro 12° andar 60m²  condomínio com piscina, salão de festas, sauna, salão de jogos, brinquedoteca, portaria 24h perm...;Taguatinga Norte; Brasília;2;1;1;60;0;0;Nenhuma;0;0;0;0;1;0
89990;Noble Imobiliária vende Kitinete com armários em excelente localização no Riacho Fundo 1.  Em frente ao BRB, próximo a parada de ônibus, comercio local, escola.  Dispõe de 28m².  P...;CLN 7 Bloco D; Riacho Fundo I;1;0;1;28;0;0;Nenhuma;0;0;0;1;0;0
300000;Excelente casa 03 quartos, suíte, sala, cozinha, banheiro social, área de serviço, corredor lateral, toda na LAJE, TODOS OS COMODOS GRANDES! garagem para uns 03 carros, área coloni...;Quadra 604; Recanto das Emas;3;3;2;150;0;0;Nenhuma;1;0;0;0;0;0
850001;ARNIQUEIRAS: Style House 4 qt/St, pisc/chursq, td.armarios, 270m2, condm.no centro da city  Arniqueira conj. 04 Casa nova e moderna!  Ótima localização, ao lado da Adm de Arniqueir...;SHA Conjunto 4; Setor Habitacional Arniqueira;4;2;3;270;0;150;Nenhuma;0;0;0;0;0;0
49000;Vendo um lote no Arapoangas, fica em um Condomínio abaixo do Posto Paraíso, fica em uma ótima localização, já tem moradores e mais gente construindo, lote de 200 metros   Tratar so...;Arapoanga; Brasília;1;0;1;0;0;0;Nenhuma;0;0;0;1;0;0
2800000;Fazenda próxima a Formosa GO com 60 alqueires aproximadamente 300 hectares toda formada terra de primeira, cultura , oportunidade, menos de 50 mil o alqueire, região próspera bem p...;SHIS QI 9 Conjunto 9; Setor de Habitacoes Individuais Sul;3;5;3;300000;0;0;Nenhuma;0;0;0;0;0;0
2200000;SQS 303 FACILIDADE DE ACESSOS   PRÓXIMO A COLÉGIOS, FACULDADES E ACADEMIAS   EXCELENTE COMERCIO LOCAL  Apartamento VAZADO localizado próximo ao comércio local e aos principais aces...;SQS 303 Bloco B; Asa Sul;4;1;4;170;0;0;Destaque;0;1;0;0;0;0
150000;Brazil Imobiliária Vende Lote com Duas Moradias no Porto Rico, Santa Maria DF. 🏠 Casa 1: Sala, Cozinha, 1 Quarto, Banheiro Social, Área de Serviço. 🏠 Casa 2: Sala, Cozinha, 3 Qua...;Condomínio Porto Rico; Santa Maria;4;2;2;150;1;0;Nenhuma;0;0;0;0;0;0
199000;Troco por imóvel menor ou maior valor .apartamento ou casa gama e entorno, tc lote o.alta,facilito pagamento valor 200 mill,,, casa forro dois quartos suite,,,lote 150 metros desme...;Quadra 1; Setor Oeste;2;3;2;150;0;0;Nenhuma;1;0;0;1;0;0
1750000;Tereno de 2000 metros quadrados no gama, comercial ou industrial!!! Lote escriturado e registrado... Ótimo investimento, muito bem localizado!! Somente á vista.  Valor do lote 1.75...;Quadra 3; Setor Sul;1;0;1;2000;0;0;Nenhuma;0;0;0;1;0;0
880000;Chácara 02 Amigos   Ponte Alta de Cima   Gama.  Ótimo investimento para criação de animais. Boa para plantio de produtos orgânicos. Próximo ao Gama   DF, fácil acesso.  Chácara com...;Ponte Alta Norte; Brasília;5;3;2;500;0;0;Nenhuma;0;0;0;0;0;0
5999;O lançamento mais esperado!!  * CONDOMÍNIO BORA PESCAR*  CORUMBÁ IV  LOTE NA BEIRA DO LAGO  Contato&Whatsapp: (61) 9.9.6.7.1 5.0.0.5  Localizado no Município de Alexânia GO  LOTES...;Área Especial 1 Chácara 7; Setor Sul;1;0;1;1000;0;0;Nenhuma;0;0;0;0;0;0
