valor,quartos,garagem,banheiro,area,suite,academia,varanda,transporte,salao,planejado,latitude,longitude
200000,6,2,3,100,0,0,0,0,0,0,-15.9025481,-48.0607778
155000,2,2,2,65,1,0,0,1,0,0,-15.9025481,-48.0607778
155000,2,2,2,65,1,0,0,1,0,0,-15.9025481,-48.0607778
155000,2,2,2,65,1,0,0,1,0,0,-15.9025481,-48.0607778
155000,2,2,2,65,1,0,0,1,0,0,-15.9025481,-48.0607778
155000,2,2,2,65,1,0,0,1,0,0,-15.9025481,-48.0607778
155000,2,2,2,65,1,0,0,1,0,0,-15.9025481,-48.0607778
155000,2,2,2,65,1,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,2,2,70,1,0,0,0,0,0,-15.9025481,-48.0607778
950000,12,2,12,150,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,2,2,70,1,0,0,0,0,0,-15.9025481,-48.0607778
950000,12,2,12,150,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,2,2,70,1,0,0,0,0,0,-15.9025481,-48.0607778
950000,12,2,12,150,0,0,0,1,0,0,-15.9025481,-48.0607778
249210,3,2,2,90,0,0,0,0,0,0,-15.9025481,-48.0607778
249210,3,2,2,90,0,0,0,0,0,0,-15.9025481,-48.0607778
249210,3,2,2,90,0,0,0,0,0,0,-15.9025481,-48.0607778
249210,3,2,2,90,0,0,0,0,0,0,-15.9025481,-48.0607778
249210,3,2,2,90,0,0,0,0,0,0,-15.9025481,-48.0607778
249210,3,2,2,90,0,0,0,0,0,0,-15.9025481,-48.0607778
249210,3,2,2,90,0,0,0,0,0,0,-15.9025481,-48.0607778
249210,3,2,2,90,0,0,0,0,0,0,-15.9025481,-48.0607778
140000,4,2,2,150,0,0,0,1,0,0,-15.9025481,-48.0607778
140000,4,2,2,150,0,0,0,1,0,0,-15.9025481,-48.0607778
140000,4,2,2,150,0,0,0,1,0,0,-15.9025481,-48.0607778
140000,4,2,2,150,0,0,0,1,0,0,-15.9025481,-48.0607778
350000,3,3,1,150,1,0,0,0,0,0,-15.9025481,-48.0607778
310000,5,4,2,200,0,0,1,0,0,0,-15.9025481,-48.0607778
350000,4,3,4,100,1,0,0,0,0,0,-15.9025481,-48.0607778
350000,3,3,1,150,1,0,0,0,0,0,-15.9025481,-48.0607778
310000,5,4,2,200,0,0,1,0,0,0,-15.9025481,-48.0607778
350000,4,3,4,100,1,0,0,0,0,0,-15.9025481,-48.0607778
350000,3,3,1,150,1,0,0,0,0,0,-15.9025481,-48.0607778
310000,5,4,2,200,0,0,1,0,0,0,-15.9025481,-48.0607778
350000,4,3,4,100,1,0,0,0,0,0,-15.9025481,-48.0607778
155000,3,1,1,80,0,0,0,0,0,0,-15.9025481,-48.0607778
130000,1,0,1,50,0,0,0,0,0,0,-15.9025481,-48.0607778
780000,1,2,10,390,0,0,0,0,0,0,-15.9025481,-48.0607778
160000,4,1,2,112,0,0,0,0,0,0,-15.9025481,-48.0607778
148000,3,1,3,80,0,0,0,0,0,0,-15.9025481,-48.0607778
399000,2,0,1,350,0,0,0,0,0,0,-15.9025481,-48.0607778
249999,3,2,4,150,0,0,0,1,0,0,-15.9025481,-48.0607778
148000,3,1,3,80,0,0,0,0,0,0,-15.9025481,-48.0607778
399000,2,0,1,350,0,0,0,0,0,0,-15.9025481,-48.0607778
249999,3,2,4,150,0,0,0,1,0,0,-15.9025481,-48.0607778
148000,3,1,3,80,0,0,0,0,0,0,-15.9025481,-48.0607778
399000,2,0,1,350,0,0,0,0,0,0,-15.9025481,-48.0607778
249999,3,2,4,150,0,0,0,1,0,0,-15.9025481,-48.0607778
148000,3,1,3,80,0,0,0,0,0,0,-15.9025481,-48.0607778
399000,2,0,1,350,0,0,0,0,0,0,-15.9025481,-48.0607778
249999,3,2,4,150,0,0,0,1,0,0,-15.9025481,-48.0607778
148000,3,1,3,80,0,0,0,0,0,0,-15.9025481,-48.0607778
399000,2,0,1,350,0,0,0,0,0,0,-15.9025481,-48.0607778
249999,3,2,4,150,0,0,0,1,0,0,-15.9025481,-48.0607778
269000,2,3,1,100,0,0,0,0,0,0,-15.9025481,-48.0607778
480000,4,2,3,150,1,0,0,0,0,0,-15.9025481,-48.0607778
227000,2,2,2,150,0,0,0,0,0,0,-15.9025481,-48.0607778
269000,2,3,1,100,0,0,0,0,0,0,-15.9025481,-48.0607778
480000,4,2,3,150,1,0,0,0,0,0,-15.9025481,-48.0607778
227000,2,2,2,150,0,0,0,0,0,0,-15.9025481,-48.0607778
290000,4,3,3,130,0,0,0,0,0,0,-15.9025481,-48.0607778
180000,2,0,1,45,0,0,0,0,0,0,-15.9025481,-48.0607778
290000,4,3,3,130,0,0,0,0,0,0,-15.9025481,-48.0607778
290000,4,3,3,130,0,0,0,0,0,0,-15.9025481,-48.0607778
290000,4,3,3,130,0,0,0,0,0,0,-15.9025481,-48.0607778
290000,4,3,3,130,0,0,0,0,0,0,-15.9025481,-48.0607778
295000,4,3,2,145,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,2,5,1,120,0,0,0,0,0,0,-15.9025481,-48.0607778
360000,3,2,2,70,1,0,0,0,0,0,-15.9025481,-48.0607778
245000,2,2,1,70,0,0,0,0,0,0,-15.9025481,-48.0607778
245000,3,3,1,120,1,0,0,0,0,0,-15.9025481,-48.0607778
50000,2,2,1,112,1,0,0,0,0,0,-15.9025481,-48.0607778
130000,2,2,2,130,0,0,0,0,0,0,-15.9025481,-48.0607778
245000,2,2,1,70,0,0,0,0,0,0,-15.9025481,-48.0607778
245000,3,3,1,120,1,0,0,0,0,0,-15.9025481,-48.0607778
50000,2,2,1,112,1,0,0,0,0,0,-15.9025481,-48.0607778
130000,2,2,2,130,0,0,0,0,0,0,-15.9025481,-48.0607778
245000,2,2,1,70,0,0,0,0,0,0,-15.9025481,-48.0607778
245000,3,3,1,120,1,0,0,0,0,0,-15.9025481,-48.0607778
50000,2,2,1,112,1,0,0,0,0,0,-15.9025481,-48.0607778
130000,2,2,2,130,0,0,0,0,0,0,-15.9025481,-48.0607778
245000,2,2,1,70,0,0,0,0,0,0,-15.9025481,-48.0607778
245000,3,3,1,120,1,0,0,0,0,0,-15.9025481,-48.0607778
50000,2,2,1,112,1,0,0,0,0,0,-15.9025481,-48.0607778
130000,2,2,2,130,0,0,0,0,0,0,-15.9025481,-48.0607778
164999,2,2,1,95,0,0,0,1,0,0,-15.9025481,-48.0607778
285000,2,2,1,113,0,0,0,0,0,0,-15.9025481,-48.0607778
290000,4,2,4,113,0,0,0,0,0,0,-15.9025481,-48.0607778
279900,3,2,3,150,0,0,0,0,0,0,-15.9025481,-48.0607778
164999,2,2,1,95,0,0,0,1,0,0,-15.9025481,-48.0607778
285000,2,2,1,113,0,0,0,0,0,0,-15.9025481,-48.0607778
290000,4,2,4,113,0,0,0,0,0,0,-15.9025481,-48.0607778
279900,3,2,3,150,0,0,0,0,0,0,-15.9025481,-48.0607778
164999,2,2,1,95,0,0,0,1,0,0,-15.9025481,-48.0607778
285000,2,2,1,113,0,0,0,0,0,0,-15.9025481,-48.0607778
290000,4,2,4,113,0,0,0,0,0,0,-15.9025481,-48.0607778
279900,3,2,3,150,0,0,0,0,0,0,-15.9025481,-48.0607778
164999,2,2,1,95,0,0,0,1,0,0,-15.9025481,-48.0607778
285000,2,2,1,113,0,0,0,0,0,0,-15.9025481,-48.0607778
290000,4,2,4,113,0,0,0,0,0,0,-15.9025481,-48.0607778
279900,3,2,3,150,0,0,0,0,0,0,-15.9025481,-48.0607778
164999,2,2,1,95,0,0,0,1,0,0,-15.9025481,-48.0607778
285000,2,2,1,113,0,0,0,0,0,0,-15.9025481,-48.0607778
290000,4,2,4,113,0,0,0,0,0,0,-15.9025481,-48.0607778
279900,3,2,3,150,0,0,0,0,0,0,-15.9025481,-48.0607778
420000,5,2,2,200,1,0,0,0,0,0,-15.9025481,-48.0607778
59900,2,3,3,150,1,0,0,1,0,0,-15.9025481,-48.0607778
420000,5,2,2,200,1,0,0,0,0,0,-15.9025481,-48.0607778
59900,2,3,3,150,1,0,0,1,0,0,-15.9025481,-48.0607778
310000,3,2,3,230,0,0,0,1,0,0,-15.9025481,-48.0607778
169999,3,3,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
310000,3,2,3,230,0,0,0,1,0,0,-15.9025481,-48.0607778
169999,3,3,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
310000,3,2,3,230,0,0,0,1,0,0,-15.9025481,-48.0607778
169999,3,3,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
310000,3,2,3,230,0,0,0,1,0,0,-15.9025481,-48.0607778
169999,3,3,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
310000,3,2,3,230,0,0,0,1,0,0,-15.9025481,-48.0607778
169999,3,3,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
310000,3,2,3,230,0,0,0,1,0,0,-15.9025481,-48.0607778
169999,3,3,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
310000,3,2,3,230,0,0,0,1,0,0,-15.9025481,-48.0607778
169999,3,3,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
160000,3,5,1,500,0,0,0,1,0,0,-15.9025481,-48.0607778
109000,1,0,1,116,0,0,0,0,0,0,-15.9025481,-48.0607778
119999,2,1,1,110,0,0,0,1,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
